Timestamp,OD,electrical conductivity,fluorescence,Hum%RH,Dirt1,AD Value1,Dirt2,AD Value2
2025-06-24T07:56:36.125,0.0,60.989,76,0.186,0,176,0,179,
2025-06-24T07:56:36.429,0.0,64.735,76,0.186,0,176,0,179,
2025-06-24T07:56:36.735,0.0,69.771,76,0.186,0,176,0,176,
2025-06-24T07:56:37.040,0.0,73.101,76,0.186,0,176,0,176,
2025-06-24T07:56:37.344,0.0,72.295,76,0.186,0,176,0,176,
2025-06-24T07:56:37.650,0.0,67.609,76,0.186,0,176,0,174,
2025-06-24T07:56:37.953,0.0,62.734,76,0.186,0,176,0,180,
2025-06-24T07:56:38.239,0.0,60.68,76,0.186,0,176,0,179,
2025-06-24T07:56:38.524,0.0,64.722,76,0.186,0,176,0,181,
2025-06-24T07:56:38.824,0.0,68.374,76,0.186,0,176,0,182,
2025-06-24T07:56:39.124,0.0,71.342,76,0.186,0,176,0,180,
2025-06-24T07:56:39.424,0.0,73.383,76,0.186,0,176,0,181,
2025-06-24T07:56:39.725,0.0,69.878,76,0.186,0,178,0,177,
2025-06-24T07:56:40.014,0.0,64.346,76,0.186,0,176,0,180,
2025-06-24T07:56:40.335,0.0,62.922,76,0.186,0,176,0,177,
2025-06-24T07:56:40.640,0.0,64.44,76,0.186,0,176,0,177,
2025-06-24T07:56:40.946,0.0,68.011,76,0.186,0,176,0,176,
2025-06-24T07:56:41.250,0.0,71.583,76,0.186,0,176,0,180,
2025-06-24T07:56:41.555,0.0,72.416,76,0.186,0,176,0,176,
2025-06-24T07:56:41.858,0.0,67.703,76,0.186,0,178,0,177,
2025-06-24T07:56:42.147,0.0,64.077,76,0.186,0,176,0,181,
2025-06-24T07:56:42.453,0.0,61.888,76,0.186,0,176,0,181,
2025-06-24T07:56:42.758,0.0,66.024,76,0.186,0,180,0,183,
2025-06-24T07:56:43.063,0.0,69.999,76,0.186,0,176,0,179,
2025-06-24T07:56:43.366,0.0,71.946,76,0.186,0,176,0,181,
2025-06-24T07:56:43.673,0.0,73.302,76,0.186,0,176,0,177,
2025-06-24T07:56:43.977,0.0,68.32,76,0.186,0,176,0,182,
2025-06-24T07:56:44.282,0.0,65.004,76,0.186,0,178,0,181,
2025-06-24T07:56:44.587,0.0,62.627,76,0.186,0,176,0,180,
